#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:felidae_atp8" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:felidae_atp8" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:felidae_atp8" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.felidae_atp8" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:felidae_atp8" name="distribution" x="@birthRate.t:felidae_atp8">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:felidae_atp8" name="distribution">
#            <parameter id="kappa1.s:felidae_atp8" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:felidae_atp8" name="distribution">
#            <parameter id="kappa2.s:felidae_atp8" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@felidae_atp8" id="treeLikelihood.felidae_atp8" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:felidae_atp8">
#            <siteModel id="SiteModel.s:felidae_atp8" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:felidae_atp8" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:felidae_atp8" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:felidae_atp8" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:felidae_atp8" kappa1="@kappa1.s:felidae_atp8" kappa2="@kappa2.s:felidae_atp8" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies data="@felidae_atp8" id="empiricalFreqs.s:felidae_atp8" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:felidae_atp8" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:felidae_atp8" name="clock.rate" spec="beast.core.parameter.RealParameter">0.02</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa1	kappa2
20000	-383.2182351852776	-345.29391371367694	-37.92432147160067	-345.29391371367694	7.712178848219914	-24.68881686682203	0.5915529447624089	62.80209266405844	15.105411981297124
21000	-385.72539612608534	-348.3699178211157	-37.35547830496967	-348.3699178211157	6.355866313578134	-24.119973700191025	0.2412225908515163	62.80209266405844	15.105411981297124
22000	-384.6577102912072	-347.3946373425369	-37.26307294867027	-347.3946373425369	6.0355283115372576	-22.886021493747734	0.45615422349850454	62.80209266405844	25.036001420742195
23000	-390.8665962970332	-354.4616573496305	-36.404938947402705	-354.4616573496305	5.271462756383183	-22.899817694685723	0.3640884633235881	62.80209266405844	17.135643629706827
24000	-390.7534829983198	-353.9223033186435	-36.83117967967627	-353.9223033186435	5.946632516670276	-23.326058426959285	0.5634838021209807	62.80209266405844	17.135643629706827
25000	-383.9687189818676	-349.84895036113176	-34.11976862073583	-349.84895036113176	7.9443953640664455	-22.948311913903556	0.34460020797822655	33.6071160748821	13.00164999527649
26000	-381.48469689046124	-345.05289778054504	-36.43179910991617	-345.05289778054504	6.729099927776225	-25.260342403083893	0.5237210584951191	33.6071160748821	13.00164999527649
27000	-382.5761986654205	-353.701999945589	-28.874198719831483	-353.701999945589	3.4830951598954636	-18.0624310911966	0.8883972088647337	28.489776627991922	13.412862148122908
28000	-382.24128575477937	-350.81227464201635	-31.429011112763035	-350.81227464201635	4.751793611774566	-20.87531615368669	0.4419715400345332	23.57045362335717	14.821042727536271
29000	-383.3564348467981	-346.89140851045397	-36.46502633634414	-346.89140851045397	9.818506997734687	-24.587081542188912	0.26730297405581516	39.62974285799941	14.821042727536271
30000	-380.45455757155304	-346.73225636318386	-33.722301208369196	-346.73225636318386	5.473407226588409	-22.10130029803119	0.6038808215545888	35.69388774722702	14.988978051504832
31000	-386.4832956215219	-346.8173755868758	-39.665920034646085	-346.8173755868758	7.750381455887929	-28.04491912430808	0.6571455339904736	35.69388774722702	14.988978051504832
32000	-380.0560783408247	-347.9370432106805	-32.11903513014418	-347.9370432106805	5.0736773007249125	-21.47906927862346	0.34264296375912956	37.019335003465514	8.529992327028555
33000	-384.40410180708034	-348.85173675223257	-35.55236505484775	-348.85173675223257	6.926351002132303	-24.6334219809834	0.5983448732870303	38.70387327195286	9.33856079476005
34000	-388.87272282130584	-353.8156659857273	-35.05705683557853	-353.8156659857273	7.584706460841964	-23.71007693214723	0.4739882270596626	38.70387327195286	11.750125024611657
35000	-387.4522675436827	-350.5329991445123	-36.91926839917038	-350.5329991445123	8.244709820573622	-25.572288495739077	0.4599791709989626	38.70387327195286	11.750125024611657
36000	-383.50784293079846	-347.9848926097518	-35.522950321046665	-347.9848926097518	6.864460675394298	-24.175970417615364	0.29671994957154363	38.70387327195286	11.750125024611657
37000	-380.579184007536	-347.1334159160485	-33.445768091487544	-347.1334159160485	6.765561990522476	-22.098788188056243	0.3873030125071964	38.70387327195286	11.750125024611657
38000	-380.33083719999416	-344.79635038962255	-35.5344868103716	-344.79635038962255	5.786118605437703	-24.1875069069403	0.2340452710099997	38.70387327195286	11.750125024611657
39000	-384.52743464904813	-351.3734519075205	-33.153982741527614	-351.3734519075205	4.689256244063552	-20.842516177096513	0.44400117774500986	38.70387327195286	18.661605061012313
40000	-385.98717315072383	-352.72657790073305	-33.260595249990814	-352.72657790073305	5.019226186895365	-21.25325288619699	0.41438929069439756	38.70387327195286	16.240394820261024
41000	-381.0980524390187	-347.804888333856	-33.293164105162724	-347.804888333856	4.885622278614275	-21.285821741368895	0.5754952054629199	38.70387327195286	16.240394820261024
42000	-386.77188241533764	-350.7694039770088	-36.002478438328865	-350.7694039770088	6.081656502168261	-22.71748099076877	0.3160983290686386	49.746440611713666	21.06971843787551
43000	-381.28208351977844	-346.33945831028876	-34.94262520948965	-346.33945831028876	7.119309627777882	-22.46560955512895	0.43438686324563824	37.14883306569894	21.06971843787551
44000	-381.84033010632186	-346.04232398030655	-35.79800612601528	-346.04232398030655	5.588571769851195	-22.64545029319335	0.39549507479910334	47.48412531916154	21.06971843787551
45000	-384.52214199867814	-345.6060807863635	-38.91606121231464	-345.6060807863635	8.797363709928522	-25.763505379492706	0.30810636056472435	47.48412531916154	21.06971843787551
46000	-382.1649215106488	-345.3937371259901	-36.77118438465868	-345.3937371259901	6.411728236769355	-22.891522920467672	0.46290498926836054	60.959455937298294	21.06971843787551
47000	-387.9075155925589	-351.55319928182945	-36.354316310729466	-351.55319928182945	6.482574674695016	-22.96681844836867	0.6907507598781601	51.55401992893395	21.06971843787551
48000	-383.26970099129545	-349.83052604873853	-33.439174942556896	-349.83052604873853	4.993481756029456	-20.0516770801961	0.45547474845343133	51.55401992893395	21.06971843787551
49000	-384.91727161295273	-349.2950937150497	-35.62217789790307	-349.2950937150497	4.837978773330323	-20.414411059151416	0.46143037749169996	93.49278519237805	20.984111162513074
50000	-383.75746659879206	-345.25882684137474	-38.4986397574173	-345.25882684137474	7.204278826254768	-25.004308233144783	0.384436145844362	54.968870737335244	20.354568726791776
51000	-385.63927412393457	-349.05048419026895	-36.58878993366564	-349.05048419026895	5.554671733078388	-23.09445840939312	0.3334197817080961	54.968870737335244	20.354568726791776
52000	-379.8983400133852	-346.2495265792416	-33.64881343414365	-346.2495265792416	4.600109752822724	-20.15448190987113	0.64703563025094	54.968870737335244	20.354568726791776
53000	-382.18601959109986	-345.90174814200907	-36.28427144909079	-345.90174814200907	5.859195057058191	-23.008488861633673	0.462796053880962	54.968870737335244	18.476447407627077
54000	-385.6565024026786	-349.0693237181214	-36.58717868455723	-349.0693237181214	5.5981325459175	-22.86278101144579	0.35843530704551707	54.968870737335244	22.476298434549072
55000	-385.83084183045696	-346.8757728757078	-38.955068954749166	-346.8757728757078	7.79963076045165	-25.260086735784583	0.4606417831204739	53.00827949037771	23.21480336029904
56000	-397.3974756494653	-358.93395509683467	-38.463520552630634	-358.93395509683467	6.00487708391447	-24.76846455203241	0.46493995242313946	53.009627632124385	23.21480336029904
57000	-384.6256881266631	-345.79639579245054	-38.82929233421253	-345.79639579245054	9.04917896134002	-25.134236333614304	0.39642872893870645	53.009627632124385	23.21480336029904
58000	-386.06502793189225	-346.4734445295625	-39.59158340232969	-346.4734445295625	8.686132990421203	-25.89652740173146	0.4607954397964833	53.009627632124385	23.21480336029904
59000	-380.4052782352819	-344.4947502533803	-35.91052798190162	-344.4947502533803	6.051397266637369	-22.09571770502474	0.4588520824769576	53.009627632124385	24.40830969577364
60000	-378.3634982526228	-342.31313030510194	-36.05036794752081	-342.31313030510194	6.539039947989136	-22.235557670643924	0.43034947170062576	53.009627632124385	24.40830969577364
61000	-381.6563912765954	-345.79295476181244	-35.86343651478293	-345.79295476181244	7.699864938270755	-23.58589965395513	0.3223807011141286	53.009627632124385	12.054356204195617
62000	-387.0522109118992	-349.3413655052816	-37.71084540661759	-349.3413655052816	5.759743523698638	-23.998930868701223	0.7141510307102423	53.009627632124385	23.38018035760336
63000	-386.4545957700557	-348.97242955342205	-37.48216621663365	-348.97242955342205	5.525923550581993	-23.770251678717287	0.5035566168928715	53.009627632124385	23.38018035760336
64000	-380.9793118350377	-344.80204229137973	-36.17726954365796	-344.80204229137973	5.516240147879488	-22.2054547730106	0.36418878765404344	53.009627632124385	26.040560379388154
